Kategori,SubMateri,Tingkat,Pertanyaan,Pembahasan,OpsiA,SkorA,OpsiB,SkorB,OpsiC,SkorC,OpsiD,SkorD,OpsiE,SkorE
TWK,Nasionalisme,MUDAH,"Menyikapi eskalasi konflik antara Amerika Serikat dan Iran, sikap Indonesia yang sejalan dengan politik luar negeri bebas aktif adalah...","Indonesia tidak memihak (bebas) namun aktif mendorong perdamaian.","Mengutuk salah satu pihak",0,"Menjadi mediator atau mendorong dialog damai",5,"Memutus hubungan diplomatik dengan keduanya",0,"Mengirimkan pasukan militer tanpa mandat PBB",0,"Mendukung pihak yang paling menguntungkan secara ekonomi",0
TWK,Pilar Negara,SEDANG,"Konflik bersenjata antara AS dan Iran dapat memicu instabilitas global. Sila Pancasila yang paling relevan sebagai landasan Indonesia dalam menyikapi konflik ini di forum internasional adalah...","Sila kedua Pancasila mendasari hubungan antarbangsa yang beradab dan menjunjung kemanusiaan.","Sila pertama",0,"Sila kedua",5,"Sila ketiga",0,"Sila keempat",0,"Sila kelima",0
TWK,Bela Negara,SEDANG,"Dampak perang AS-Iran bisa merembet ke ketahanan energi nasional. Bentuk bela negara yang paling tepat dilakukan masyarakat terkait hal ini adalah...","Bela negara secara nirmiliter yaitu dengan menghemat energi dan tidak panik/menimbun BBM.","Menimbun bahan bakar minyak",0,"Menghemat penggunaan energi di kehidupan sehari-hari",5,"Ikut mendaftar wajib militer untuk cadangan",0,"Melakukan protes ke kedutaan",0,"Menyebarkan informasi dari luar negeri mentah-mentah",0
TWK,Integritas,SULIT,"Ketika muncul isu kelangkaan BBM akibat ketegangan AS-Iran, seorang ASN di bidang logistik ditawari suap untuk memprioritaskan distribusi ke perusahaan tertentu. Tindakan berintegritas yang harus dilakukan adalah...","Integritas berarti menolak suap dan melaporkannya.","Menerima dan membagikan kepada staf",0,"Menolak dengan halus agar tidak menyinggung",0,"Menolak dan melaporkan percobaan suap tersebut",5,"Menerima namun tetap membagikan BBM secara adil",0,"Mengabaikan dan diam saja",0
TWK,Bahasa Indonesia,MUDAH,"Penulisan kata serapan yang tepat saat memberitakan perang adalah...","Kata yang baku adalah 'eskalasi' bukan 'eskalation' atau 'eskalasir'.","eskalasi",5,"eskalation",0,"escalasi",0,"iskalasi",0,"eskalasir",0
TWK,Nasionalisme,SULIT,"Banyaknya berita simpang siur mengenai perang AS-Iran berpotensi memecah belah opini masyarakat di medsos. Sikap seorang warga negara yang mencerminkan nasionalisme adalah...","Menyaring informasi agar tidak terjebak hoaks yang mengganggu persatuan.","Ikut menyebarkan berita yang sesuai keyakinan politiknya",0,"Tidak peduli karena terjadi di luar negeri",0,"Menyaring informasi dan menjaga narasi persatuan bangsa",5,"Membuat konten provokatif untuk menarik simpati",0,"Menghindari penggunaan media sosial sepenuhnya",0
TWK,Bela Negara,MUDAH,"Ancaman keamanan siber yang meningkat seiring konflik AS-Iran harus diwaspadai. Upaya bela negara bagi ASN IT adalah...","Menjaga keamanan data negara adalah bentuk bela negara profesi.","Meretas situs web negara lain",0,"Menjaga keamanan sistem informasi dan data instansi",5,"Menutup semua akses internet di kantor",0,"Mencetak semua dokumen agar tidak diretas",0,"Mengabaikan ancaman karena jauh",0
TWK,Pilar Negara,SEDANG,"Tindakan Indonesia untuk mengevakuasi WNI di sekitar wilayah konflik Timur Tengah merupakan perwujudan tujuan negara dalam Pembukaan UUD 1945 yaitu...","Melindungi segenap bangsa Indonesia dan seluruh tumpah darah Indonesia.","Memajukan kesejahteraan umum",0,"Mencerdaskan kehidupan bangsa",0,"Ikut melaksanakan ketertiban dunia",0,"Melindungi segenap bangsa Indonesia",5,"Mewujudkan keadilan sosial",0
TWK,Pilar Negara,SULIT,"Ketegangan di Selat Hormuz mengingatkan pada pentingnya konsep Wawasan Nusantara bagi Indonesia yang memiliki selat-selat strategis. Deklarasi yang menjadi tonggak kedaulatan laut Indonesia adalah...","Deklarasi Djuanda 1957.","Deklarasi Bangkok",0,"Deklarasi Djuanda",5,"Perjanjian Roem-Royen",0,"Deklarasi Bandung",0,"Konvensi Hukum Laut 1982",0
TWK,Bela Negara,SEDANG,"Menjaga keamanan Alur Laut Kepulauan Indonesia (ALKI) dari dampak rambatan blokade Selat Hormuz merupakan tugas utama komponen...","Komponen utama pertahanan negara adalah TNI.","Komponen cadangan",0,"TNI",5,"Polri",0,"Bakamla",0,"Rakyat",0
